ID,sf,Driver,Host,CDKN2AB,PTEN,Type,Clone,Replicate,OriginalOrder,Random_Sample_No,LibraryBatch,SeqBatch,SeqBatchSample,Adapter,QuickID
TK_1,TK_1_S1_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.4.4,1,1,85,8,8,S1,1,TK85
TK_2,TK_2_S4_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.4.4,2,2,100,9,9,S4,9,TK100
TK_3,TK_3_S11_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.4.4,3,3,35,3,3,S11,25,TK35
TK_4,TK_4_S10_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.5.2,1,4,70,6,6,S10,23,TK70
TK_5,TK_5_S1_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.5.2,2,5,25,3,3,S1,1,TK25
TK_6,TK_6_S6_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.5.2,3,6,54,5,5,S6,11,TK54
TK_7,TK_7_S5_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.5.3,1,7,41,4,4,S5,10,TK41
TK_8,TK_8_S3_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.5.3,2,8,99,9,9,S3,8,TK99
TK_9,TK_9_S4_R1_001.sf,EGFRvIII,NSG,Hom_del,Hom_del,NS1,15.5.3,3,9,16,2,2,S4,9,TK16
TK_10,TK_10_S4_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.5.5,1,10,64,6,6,S4,9,TK64
TK_11,TK_11_S8_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.5.5,2,11,68,6,6,S8,21,TK68
TK_12,TK_12_S7_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.5.5,3,12,55,5,5,S7,20,TK55
TK_13,TK_13_S8_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.6.1,1,13,32,3,3,S8,21,TK32
TK_14,TK_14_S7_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.6.1,2,14,115,10,10,S7,20,TK115
TK_15,TK_15_S4_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.6.1,3,15,4,1,1,S4,9,TK04
TK_16,TK_16_S12_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.6.3,1,16,72,6,6,S12,27,TK72
TK_17,TK_17_S8_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.6.3,2,17,81,7,7,S8,22,TK81
TK_18,TK_18_S9_R1_001.sf,EGFRvV,NSG,Hom_del,Hom_del,NS1,15.6.3,3,18,93,8,8,S9,22,TK93
TK_19,TK_19_S6_R1_001.sf,PDGFRA,NSG,Hom_del,Hom_del,NS1,15.9.5,1,19,18,2,2,S6,11,TK18
TK_20,TK_20_S1_R1_001.sf,PDGFRA,NSG,Hom_del,Hom_del,NS1,15.9.5,2,20,73,7,7,S1,1,TK73
TK_21,TK_21_S10_R1_001.sf,PDGFRA,NSG,Hom_del,Hom_del,NS1,15.9.5,3,21,106,9,9,S10,23,TK106
TK_22,TK_22_S7_R1_001.sf,PDGFRA,NSG,Hom_del,Hom_del,NS1,15.10.1,1,22,20,2,2,S7,20,TK19
TK_23,TK_23_S3_R1_001.sf,PDGFRA,NSG,Hom_del,Hom_del,NS1,15.10.1,2,23,87,8,8,S3,8,TK87
