sample,fastq_1,fastq_2,strandedness,id
TK_001_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_1_S1_R1_001.fastq.gz,,auto,TK001
TK_002_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_2_S4_R1_001.fastq.gz,,auto,TK002
TK_003_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_3_S11_R1_001.fastq.gz,,auto,TK003
TK_004_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_4_S10_R1_001.fastq.gz,,auto,TK004
TK_005_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_5_S1_R1_001.fastq.gz,,auto,TK005
TK_006_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_6_S6_R1_001.fastq.gz,,auto,TK006
TK_007_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_7_S5_R1_001.fastq.gz,,auto,TK007
TK_008_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_8_S3_R1_001.fastq.gz,,auto,TK008
TK_009_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_9_S4_R1_001.fastq.gz,,auto,TK009
TK_010_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_10_S4_R1_001.fastq.gz,,auto,TK010
TK_011_S8,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_11_S8_R1_001.fastq.gz,,auto,TK011
TK_012_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_12_S7_R1_001.fastq.gz,,auto,TK012
TK_013_S8,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_13_S8_R1_001.fastq.gz,,auto,TK013
TK_014_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_14_S7_R1_001.fastq.gz,,auto,TK014
TK_015_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_15_S4_R1_001.fastq.gz,,auto,TK015
TK_016_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_16_S12_R1_001.fastq.gz,,auto,TK016
