"","sample","fastq_1","fastq_2","strandedness","ID","sf","Driver","Host","CDKN2AB","PTEN","Type","Clone","Replicate","OriginalOrder","Random_Sample_No","LibraryBatch","SeqBatch","SeqBatchSample","Adapter","QuickID","ID2"
"1","TK001","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_1_S1_R1_001.fastq.gz",NA,"auto","TK_1","TK_1_S1_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.4.4",1,1,85,8,8,"S1",1,"TK85","TK_001_S1"
"2","TK002","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_2_S4_R1_001.fastq.gz",NA,"auto","TK_2","TK_2_S4_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.4.4",2,2,100,9,9,"S4",9,"TK100","TK_002_S4"
"3","TK003","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_3_S11_R1_001.fastq.gz",NA,"auto","TK_3","TK_3_S11_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.4.4",3,3,35,3,3,"S11",25,"TK35","TK_003_S11"
"4","TK004","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_4_S10_R1_001.fastq.gz",NA,"auto","TK_4","TK_4_S10_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.5.2",1,4,70,6,6,"S10",23,"TK70","TK_004_S10"
"5","TK005","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_5_S1_R1_001.fastq.gz",NA,"auto","TK_5","TK_5_S1_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.5.2",2,5,25,3,3,"S1",1,"TK25","TK_005_S1"
"6","TK006","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_6_S6_R1_001.fastq.gz",NA,"auto","TK_6","TK_6_S6_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.5.2",3,6,54,5,5,"S6",11,"TK54","TK_006_S6"
"7","TK007","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_7_S5_R1_001.fastq.gz",NA,"auto","TK_7","TK_7_S5_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.5.3",1,7,41,4,4,"S5",10,"TK41","TK_007_S5"
"8","TK008","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_8_S3_R1_001.fastq.gz",NA,"auto","TK_8","TK_8_S3_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.5.3",2,8,99,9,9,"S3",8,"TK99","TK_008_S3"
"9","TK009","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_9_S4_R1_001.fastq.gz",NA,"auto","TK_9","TK_9_S4_R1_001.sf","EGFRvIII","NSG","Hom_del","Hom_del","NS1","15.5.3",3,9,16,2,2,"S4",9,"TK16","TK_009_S4"
"10","TK010","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_10_S4_R1_001.fastq.gz",NA,"auto","TK_10","TK_10_S4_R1_001.sf","EGFRvV","NSG","Hom_del","Hom_del","NS1","15.5.5",1,10,64,6,6,"S4",9,"TK64","TK_010_S4"
