"","ensembl_gene_id_version","mgi_id","mgi_symbol","chromosome_name","strand","start_position","end_position","description","gene_biotype"
"5","ENSMUSG00000057363.13","MGI:1915133","Uxs1","1",-1,43786126,43866960,"UDP-glucuronate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:1915133]","protein_coding"
"13","ENSMUSG00000061024.9","MGI:1929721","Rrs1","1",1,9615633,9617680,"ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]","protein_coding"
"14","ENSMUSG00000025911.15","MGI:1923437","Adhfe1","1",1,9618173,9650898,"alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]","protein_coding"
"16","ENSMUSG00000067879.4","MGI:1924232","Vxn","1",1,9671424,9697368,"vexin [Source:MGI Symbol;Acc:MGI:1924232]","protein_coding"
"18","ENSMUSG00000025912.17","MGI:99925","Mybl1","1",-1,9737640,9770434,"myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]","protein_coding"
"19","ENSMUSG00000045210.9","MGI:1917925","Vcpip1","1",-1,9788847,9818607,"valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]","protein_coding"
"20","ENSMUSG00000041763.15","MGI:102724","Tpp2","1",1,43972807,44042160,"tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]","protein_coding"
"21","ENSMUSG00000047343.5","MGI:3611450","Mettl21c","1",-1,44048568,44059194,"methyltransferase 21C, AARS1 lysine [Source:MGI Symbol;Acc:MGI:3611450]","protein_coding"
"23","ENSMUSG00000091844.3","MGI:3647616","Ccdc168","1",-1,44095032,44118906,"coiled-coil domain containing 168 [Source:MGI Symbol;Acc:MGI:3647616]","protein_coding"
"24","ENSMUSG00000026049.12","MGI:1922873","Tex30","1",-1,44125773,44141601,"testis expressed 30 [Source:MGI Symbol;Acc:MGI:1922873]","protein_coding"
"26","ENSMUSG00000026047.14","MGI:1919300","Poglut2","1",-1,44145706,44157968,"protein O-glucosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919300]","protein_coding"
"27","ENSMUSG00000041684.12","MGI:2179809","Bivm","1",1,44158117,44183930,"basic, immunoglobulin-like variable motif containing [Source:MGI Symbol;Acc:MGI:2179809]","protein_coding"
"28","ENSMUSG00000026048.17","MGI:103582","Ercc5","1",1,44186904,44220420,"excision repair cross-complementing rodent repair deficiency, complementation group 5 [Source:MGI Symbol;Acc:MGI:103582]","protein_coding"
"29","ENSMUSG00000046828.4","MGI:2685837","Mettl21e","1",-1,44243230,44258121,"methyltransferase like 21E [Source:MGI Symbol;Acc:MGI:2685837]","protein_coding"
"33","ENSMUSG00000056870.10","MGI:1920407","Gulp1","1",1,44590671,44835998,"GULP, engulfment adaptor PTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1920407]","protein_coding"
"42","ENSMUSG00000025915.15","MGI:2182368","Sgk3","1",1,9868332,9971070,"serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]","protein_coding"
"45","ENSMUSG00000026043.19","MGI:88453","Col3a1","1",1,45350698,45388866,"collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]","protein_coding"
"46","ENSMUSG00000046101.17","MGI:3045334","Mcmdc2","1",1,9978863,10012310,"minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]","protein_coding"
"49","ENSMUSG00000099032.3","MGI:3780500","Tcf24","1",-1,10030388,10038157,"transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500]","protein_coding"
"51","ENSMUSG00000026042.17","MGI:88458","Col5a2","1",-1,45413481,45542442,"collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]","protein_coding"
"53","ENSMUSG00000025916.11","MGI:1921138","Ppp1r42","1",-1,10038849,10079361,"protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]","protein_coding"
"56","ENSMUSG00000025917.10","MGI:1349415","Cops5","1",-1,10094826,10108393,"COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]","protein_coding"
"57","ENSMUSG00000041144.13","MGI:2684953","Dnah7b","1",1,46105475,46412710,"dynein, axonemal, heavy chain 7B [Source:MGI Symbol;Acc:MGI:2684953]","protein_coding"
"60","ENSMUSG00000101337.7","MGI:3639762","Dnah7c","1",1,46464752,46846636,"dynein, axonemal, heavy chain 7C [Source:MGI Symbol;Acc:MGI:3639762]","protein_coding"
"61","ENSMUSG00000025986.7","MGI:1914515","Slc39a10","1",-1,46846704,46932012,"solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]","protein_coding"
"84","ENSMUSG00000056763.17","MGI:2681832","Cspp1","1",1,10108212,10206993,"centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]","protein_coding"
"98","ENSMUSG00000026109.15","MGI:1861735","Tmeff2","1",1,50939806,51226429,"transmembrane protein with EGF-like and two follistatin-like domains 2 [Source:MGI Symbol;Acc:MGI:1861735]","protein_coding"
